index,text
西北地区,4900
海地,4900
柴油,4900
强音,4900
病例,4900
转型,4900
不锈,4900
享,4900
着力,4900
武汉,4900
7%,4900
工业园区,4900
赛科,4900
期现,4900
主义,4900
明火,4900
不锈钢,4900
中厚板,4900
仁泰,4900
利华益,4900
最强音,4900
持稳,4900
镇江,4900
感染,4900
B轮,4900
电镁锭,4900
日昌亚,4900
布伦特,4900
西海岸,4900
打赢,4900
增值,4900
凉山,4900
技术含量,4900
岭南,4900
成都地区,4900
老朋友,4900
中方,4900
金川,4900
市场走势,4900
利津,4900
坐视,4900
工业园,4900
生人,4900
扩建,4900
铁合金,4900
三氧化二锑,4900
大战,4900
苯酐,4900
津港,4900
北地,4900
钆,4900
交易中心,4900
山东省,4900
建筑,4900
河北省,4900
汽油,4900
氧粉,4900
示范,4900
府谷,4900
焦炭,4900
4.5%,4900
铽,4900
南山,4900
河北,4900
日中金,4900
台化,4900
出口量,4900
钬,4900
赛宝,4900
西班牙,4900
无症状,4900
领投,4900
中油,4900
新增,4900
钴,4900
金属硅,4900
示范区,4900
世界大战,4900
巴斯,4900
走稳,4900
尹乃明,4900
西北,4900
潍坊,4900
农谷,4900
退二进,4900
钢材,4900
或超,4900
225,4900
上海地区,4900
升级,4900
限购,4900
铝,4900
钇,4900
西昌,4900
感染者,4900
金属锑,4900
桶,4900
铝锭,4900
出厂价格,4900
钐,4900
镍,4900
镁,4900
铒,4900
铅锭,4900
佛山,4900
铈,4900
钟南山,4900
因素,4900
扬子,4900
牌价,4900
日英,4900
4%,4900
挂牌价,4900
加工,4900
氧化物,4900
海岸,4900
太谷,4900
受访者,4900
两手抓,4900
扑灭,4900
不理,4900
厚板,4900
受访,4900
无锡,4900
铅,4900
两手,4900
42.8%,4900
魔芋,4900
症状,4900
陌生,4900
一体,4900
定向,4900
中金,4900
调研,4900
雅仕德,4900
力士,4900
一体化,4900
苯领,4900
国安,4900
奇美,4900
陌生人,4900
特朗普,4900
云鲸,4900
亚博兰炭,4900
获近,4900
日绿安擎峰,4900
奏响,4900
西海,4900
源码,4900
日中,4900
楚雄,4900
江西,4900
霸凌,4900
总汇,4900
例新冠,4900
伦特,4900
大盘,693
3000,280
走,267
大笑,226
买,224
跳水,188
开低,185
高开低走,180
券商,163
上证,162
上涨,152
牛市,136
转发,133
拉,133
高开,130
做,119
牛,114
跑,113
下周,101
调整,98
美股,97
补缺,95
天天,94
回调,93
昨天,93
上证指数,93
低开,86
散户,84
周一,82
补,76
时间,75
风险,74
三千,72
外围,71
口,70
砸,70
绿,69
感觉,69
2950,68
量,63
2900,61
顶,61
钱,61
开盘,60
希望,59
加油,58
诱多,58
证券,57
傲,57
空仓,57
一点,56
万,56
赶紧,54
减仓,54
几天,54
尾盘,54
赚钱,53
赞,53
鼓掌,52
韭菜,52
上周,51
第一,51
高位,50
本周,50
红,49
两个,49
短线,49
茅台,48
拉升,48
仓位,48
元,47
目标,46
票,46
分钟,46
微笑,46
缩量,45
太,45
个点,45
哭,45
向上,43
哈哈哈,43
破,42
周末,42
趋势,42
沪,42
星期,41
东方,41
估计,40
早盘,40
新高,40
跳,40
满仓,39
T,39
爱心,38
表演,38
a,38
不到,37
亏,37
卖出,37
外资,37
集团,37
创新,36
滴汗,36
支撑,35
日线,35
周,35
背离,35
医药,34
出货,34
有人,34
暴跌,34
不错,34
两点,34
高点,34
不好,34
数据,34
进,33
几个,33
结束,33
股指,33
里,32
套,31
启动,31
路,31
小心,31
预测,31
炒,31
涨跌,31
指标,31
强势,31
一波,30
完,30
每日,30
周三,30
吃,30
懂,30
号,30
两天,30
看好,30
天,30
跌停,30
死,30
半年,30
晚上,30
本金,30
难,29
无量,29
位置,29
踩,29
永远,28
三个,28
明日,28
割,27
杀,27
不涨,27
人气,27
独立,27
贴,27
K,27
加仓,27
开,27
建议,27
厉害,26
长期,26
周期,26
请,26
筹码,26
盈亏,26
平开,26
能源,26
投票,25
京东,25
发起,25
5G,25
近期,25
周二,25
未来,25
看空,25
成,25
复盘,25
表现,25
行业,24
肯定,24
多头,24
终于,24
神机,24
接盘,24
越,24
横盘,24
暴涨,24
做空,24
上攻,24
喜欢,23
省广,23
早上,23
情况,23
退市,23
多娇,23
位,23
每次,23
开高,23
套路,22
站上,22
大神,22
上周五,22
收,22
向下,22
空头,22
今晚,22
冲击,22
策略,22
远离,22
持股,22
股民,22
历史,22
白酒,22
仓,22
顶部,21
大侠,21
上行,21
百分,21
实盘,21
这是,21
买进,21
拉高,21
总,21
石林,21
方向,21
追,21
只能,21
快点,21
一年,21
观望,21
选择,21
亏了,21
逼,21
节奏,21
小幅,21
周四,20
献花,20
石油,20
京东方,20
海南,20
财富,20
2020.6,20
流入,20
收益,20
持仓,20
休息,20
顶背离,20
净资产,20
2800,20
高开高,20
反正,20
观点,20
买点,20
追高,20
高手,20
分化,19
干,19
护盘,19
欧美,19
侠客,19
深,19
2930,19
板,19
题材,18
不补,18
撤退,18
运行,18
不动,18
上方,18
大侠客,18
预期,18
全是,18
跌下来,18
不多,18
黄金,18
看多,18
阳线,18
告诉,18
股海,18
别装,18
财力,18
空,18
下半,18
踏空,18
肉,18
医疗,18
十万,18
权重,18
百分之,17
不行,17
自选,17
回补,17
顶住,17
搞,17
变盘,17
控制,17
大部,17
周线,17
军工,17
受,17
图,17
大阳,17
不住,17
稳,16
洗盘,16
底,16
天下,16
怒,16
十,16
信心,16
2600,16
减持,16
适合,16
抛,16
2700,16
竞价,16
准时,16
大部分,16
三天,16
少,16
上车,16
阶段,16
忽悠,16
股东,16
发,16
获利,16
样子,16
2850,16
空间,16
一周,16
模式,16
下半年,16
推荐,16
一把,15
V,15
接下,15
简单,15
被套,15
翻红,15
新能源,15
回本,15
到位,15
一半,15
人生,15
最低,15
走出,15
差,15
看着,15
月底,15
市值,15
十年,15
俏皮,15
成功,15
均线,15
跌成,15
交易日,15
加,15
带动,15
危险,14
不用,14
级别,14
下周一,14
整体,14
越来,14
手,14
外盘,14
分红,14
拜神,14
情绪,14
进场,14
中午,14
ST,14
翻身,14
留,14
我大,14
慢慢,14
三十,14
杀跌,14
下行,14
动,14
烂烂,14
红盘,14
信息,14
越来越,14
低吸,14
昨晚,14
生物,14
不知,14
熟悉,14
300,14
一个月,13
阴线,13
住,13
坐等,13
区域,13
行,13
离场,13
围观,13
装,13
困惑,13
日子,13
恶心,13
完美,13
创,13
谨慎,13
没人,13
一只,13
狗,13
反,13
止损,13
股友,13
站稳,13
假,13
赢,13
未,13
找,13
账户,13
撤,12
爱,12
日记,12
发财,12
笑,12
回来,12
幅度,12
长城,12
绿油油,12
一种,12
两,12
超过,12
前期,12
错过,12
成长,12
阻力,12
事,12
习惯,12
请问,12
层,12
好看,12
大牛市,12
牛股,12
快快,12
逻辑,12
挺,12
预计,12
味道,12
唱空,12
两市,12
依旧,12
市,12
观察,12
洗,12
变,12
六月,12
熊市,12
一批,12
流出,12
非农,12
地摊,12
小散,12
写,12
段时间,12
4000,12
轻仓,12
一帖,12
发帖,12
接近,12
不信,12
太多,12
早,12
跌幅,12
生活,12
油油,12
不出,11
暴风,11
2646,11
浪,11
2956,11
利空,11
弱,11
一路,11
恭喜,11
神奇,11
全线,11
五年,11
哈哈哈哈,11
套人,11
提前,11
求,11
集合竞价,11
大盘走势,11
亏大,11
恐慌,11
全天,11
跌跌,11
更新,11
多年,11
原因,11
点评,11
控股,11
速度,11
集合,11
开心,11
布局,11
好久,11
黑色,11
分享,11
旅游,11
5000,11
农业,11
放,11
一段,11
话,11
建仓,11
看不懂,11
起飞,11
好事,11
输,11
基本面,11
爆发,11
买买,11
收割,11
一根,11
兄弟,11
倍,11
回到,10
长,10
自选股,10
为啥,10
当日,10
犹豫,10
国际,10
比赛,10
割肉,10
收评,10
1000,10
格局,10
看盘,10
低点,10
出逃,10
哪位,10
头部,10
疯狂,10
意外,10
改变,10
大盘股,10
警惕,10
加速,10
翻,10
帖子,10
短,10
确实,10
亏钱,10
光刻,10
意义,10
需,10
主升浪,10
提醒,10
计划,10
地产,10
听,10
公告,10
年底,10
吹,10
理由,10
数字,10
本轮,10
摸,10
小涨,10
波段,10
存量,10
健康,10
2968,9
稳住,9
不来,9
200,9
•,9
第一次,9
点半,9
反转,9
五日,9
语,9
面,9
挣钱,9
千万别,9
窗口,9
强,9
纳斯达克,9
阴跌,9
好多,9
重点,9
坑,9
整理,9
会涨,9
低位,9
星期一,9
药业,9
飞,9
疯,9
一段时间,9
达克,9
回头,9
倒,9
一贴,9
十大,9
远,9
有个,9
大佬,9
幻想,9
中期,9
蓝筹股,9
跟着,9
综合,9
支撑位,9
大师,9
一地,9
打压,9
说话,9
万泰,9
后市,9
毛病,9
处于,9
块,9
十倍,9
这波,9
东西,9
蓄势,9
来临,9
超级,9
胜,9
内资,9
造假,9
干嘛,9
毛估,9
振荡,9
记住,9
十几,9
2920,9
套牢,9
心理,9
抓住,9
见证,9
事情,9
困顿,9
空高开,9
酒,9
补完,9
带头,9
点点,9
抖音,9
进攻,9
相关,9
光电,9
报收,9
精选,9
分时,9
努力,9
逃命,9
看不到,9
十字,9
小盘,9
有望,9
季度,9
引领,9
奔,9
明,9
摊手,9
聪明,9
黑,9
参与,8
有意,8
做好,8
老套,8
值得,8
磨磨,8
太难,8
2970,8
国企,8
收绿,8
看样,8
正式,8
老套路,8
一百,8
吃饭,8
鸡毛,8
午盘,8
估估,8
关系,8
劵,8
头,8
手里,8
异动,8
漂亮,8
已到,8
游资,8
新手,8
不服,8
不想,8
刚刚,8
帮,8
感谢,8
屎,8
提问,8
好意,8
航空,8
跌停板,8
不买,8
粤,8
坚定,8
换,8
这周,8
期,8
弱势,8
名,8
掩护,8
起点,8
必有,8
交流,8
下方,8
哥,8
抱团,8
早评,8
冲破,8
顺势,8
大集,8
好好,8
手中,8
抢,8
波动,8
好想你,8
品种,8
心态,8
影视,8
抄,8
午后,8
游戏,8
狐狸,8
时代,8
重,8
字,8
风雨,8
成仓,8
贵州,8
多空,8
好意思,8
癌股,8
3100,8
图形,8
空单,8
减,8
站岗,8
毛估估,8
掉,8
绝大,8
惨,8
一日,8
Emily,8
产品,8
三十万,8
沪市,8
延续,8
很大,8
管住,8
时刻,8
累,8
至少,8
明白,8
学习,8
中线,8
有限,8
2937,7
力度,7
期待,7
下探,7
越涨,7
区间,7
深圳,7
玩意,7
咯,7
全绿,7
配方,7
到来,7
想到,7
不容,7
盘整,7
点赞,7
迹象,7
第三,7
散,7
水电,7
有意思,7
投机,7
700,7
只涨,7
核心,7
环境,7
没量,7
纳指,7
全仓,7
月线,7
不出意外,7
k,7
抓紧,7
共振,7
配合,7
回购,7
美的,7
有大,7
全,7
必跌,7
货币,7
绩优,7
暂时,7
新闻,7
股友们,7
本来,7
300418,7
上冲,7
重仓,7
应,7
商品,7
滴,7
拭目,7
喊,7
特别,7
显示,7
优秀,7
解释,7
贪,7
流动性,7
回撤,7
技术性,7
供销,7
大阳线,7
无聊,7
逼空,7
一句,7
站,7
金刚,7
这一波,7
微调,7
难受,7
五个,7
大癌,7
天上,7
同志,7
电力,7
永不,7
取消,7
三年,7
号票,7
中长,7
客户,7
净值,7
想着,7
中粮,7
华为,7
车,7
2944,7
做股票,7
拉稀,7
二个,7
6.9,7
难看,7
2934,7
标的,7
动作,7
2000,7
三只,7
二点,7
鸡肋,7
拉到,7
加大,7
电器,7
以待,7
一股,7
猜,7
流动,7
一件,7
思路,7
缺,7
大于,7
一线,7
不破,7
重组,7
不高,7
快速,7
越大,7
发布,7
电气,7
德指,7
要涨,7
中兴,6
中阳,6
v,6
急,6
20200609,6
随便,6
之路,6
艹,6
最多,6
中文,6
唱,6
互联,6
汇总,6
消化,6
涨起,6
领涨,6
梦若,6
连涨,6
龙虎榜,6
小牛,6
喝酒,6
稳健,6
长阴,6
再也,6
不跌,6
连板,6
痛快,6
爆,6
收红,6
不远,6
成本,6
吃面,6
定律,6
二天,6
通讯,6
焊牢,6
尾号,6
还好,6
频繁,6
原创,6
白马,6
拥有,6
一支,6
天气,6
动向,6
不拉,6
辈子,6
区,6
一万,6
120,6
服,6
盘后,6
迎来,6
记得,6
龙虎,6
截止,6
没补,6
房地产,6
1%,6
正,6
30%,6
操盘手,6
一看,6
收涨,6
发套,6
高科,6
谢谢,6
路过,6
完蛋,6
唧唧,6
要来,6
格力,6
强大,6
真不,6
回事,6
撑,6
庄,6
珍惜,6
蹭,6
再见,6
研发,6
3500,6
经历,6
亏得,6
他来,6
通道,6
制,6
002828,6
点数,6
抽,6
十字星,6
老实,6
崛起,6
哒,6
展望,6
稳心,6
猜猜,6
多久,6
担心,6
利用,6
房地,6
冲天,6
四天,6
冲锋,6
一日游,6
无力,6
挂,6
国家队,6
鸭,6
补上,6
权重股,6
预备,6
奇葩,6
量价背离,6
吐,6
国,6
关口,6
同步,6
百万,6
SH000001,6
舍得,6
折腾,6
送,6
涨回,6
6.8,6
计算,6
还会,6
装死,6
回归,6
不玩,6
小跌,6
贪婪,6
入场,6
够,6
失望,6
拭目以待,6
傻,6
信不信,6
面临,6
盛洋,6
将来,6
兴奋,6
流氓,6
长远,6
美好,6
上半,6
啊啊啊,6
闷,6
可惜,6
水平,6
第十,6
之外,6
骗,6
赔钱,6
没到,6
神,6
心情,6
止盈,6
没事,6
市净率,6
云南,6
业务,6
一点点,6
反包,6
微红,6
20%,6
t,6
本月,6
年报,6
撤离,6
四个,6
几百,6
后天,6
给力,6
装大湿,6
涨起来,6
回去,6
追涨,6
思考,6
凤凰,5
卖卖,5
几年,5
西安,5
统计,5
近日,5
一张,5
快来,5
金叉,5
深套,5
不好意思,5
特斯拉,5
资源,5
发行,5
无忧,5
错,5
魔咒,5
心,5
没涨,5
跌多涨少,5
卧槽,5
斯拉,5
真牛,5
贪心,5
争气,5
盘子,5
大势,5
上天,5
2890,5
要死,5
价位,5
老哥,5
新仓,5
强势股,5
教训,5
百点,5
贡献,5
小盘股,5
冲动,5
同兴达,5
磨,5
拉拉,5
翻绿,5
把握,5
吃药,5
不去,5
评论,5
老师,5
卫星,5
跑的快,5
坏,5
收复,5
绝望,5
山顶,5
2943,5
打开,5
性,5
明年,5
大单,5
想要,5
追逐,5
兴达,5
太弱,5
王,5
长阳,5
G,5
涨跌互现,5
巴菲,5
湖北,5
之下,5
十个,5
第一天,5
万回,5
绿色,5
高开冲,5
过程,5
冲过,5
回避,5
我要,5
经验,5
放弃,5
传媒,5
没钱,5
06.09,5
学会,5
德行,5
不觉,5
自然,5
受益,5
获利盘,5
研究,5
互联网,5
清,5
好像,5
见好就收,5
2980,5
好久没,5
六个,5
狂拉,5
报道,5
之道,5
慢牛,5
脸,5
水泥,5
轮动,5
看涨,5
几句,5
铜业,5
平安,5
微跌,5
怀疑,5
走高,5
多只,5
知识,5
想象,5
没赚,5
见到,5
太大,5
TCL,5
之上,5
玩吧,5
确认,5
不上不下,5
是从,5
生命,5
天大,5
守,5
电路,5
赚大,5
狼,5
涨得,5
一家,5
预判,5
发生,5
盘前,5
新低,5
三分,5
不改,5
挣,5
跌得,5
千多,5
埋,5
净流入,5
跌惨,5
活跃,5
可怕,5
鬼,5
指标股,5
牛气,5
日收评,5
常态,5
版,5
天花,5
入手,5
讲,5
二十,5
6.10,5
唯一,5
线图,5
第一波,5
背,5
久盘,5
各股,5
冲上,5
失败,5
运气,5
基础,5
达,5
40%,5
一涨,5
潜力,5
额,5
控盘,5
股神,5
当天,5
早安,5
2932,5
财务,5
买股,5
特斯,5
醒醒,5
投,5
钢铁股,5
威武,5
要大涨,5
酱油,5
反复,5
没什么,5
出局,5
2%,5
同兴,5
啥时候,5
千股,5
七个,5
上半年,5
跑跑,5
酒鬼,5
天花板,5
牛来,5
寻找,5
A50,5
欧股,5
每股,5
万回本,5
小幅度,5
开发,5
一倍,5
涨时,5
震,5
20200610,5
百日,5
光刻胶,5
跑步,5
梦,5
派,5
手上,5
2940,5
下车,5
白线,5
礼拜,5
恢复,5
博弈,5
依然,5
票子,5
巴菲特,5
打板,5
佳云,5
必上,5
实实,5
经营,5
组合,5
中兴通讯,5
榜,5
动力,5
攻,5
家数,5
不让,5
放心,5
乱,5
系列,5
市盈率,5
早就,5
老板,5
景津,5
菲特,5
联网,5
时空,5
一分,5
关,5
滞涨,5
集成,5
害怕,5
黄线,5
飞机,5
七月,5
中信证券,5
赔,5
张,5
无奈,5
凉凉,5
几点,5
之二,5
广,5
五天,5
点多,4
悬念,4
压制,4
特,4
0.12,4
光刻机,4
乏力,4
剩下,4
破位,4
微电子,4
多单,4
认同,4
摆地摊,4
黄斌汉,4
上周四,4
糖业,4
理性,4
二季,4
选,4
背景,4
弄,4
变化,4
十二,4
棍,4
条件,4
剧情,4
中银,4
受阻,4
理论,4
逃,4
怎么回事,4
文化,4
氢,4
虽少,4
指教,4
今天下午,4
总资产,4
别撑,4
盼,4
愿,4
逢高卖出,4
身边,4
验证,4
多方,4
医疗器械,4
砖家,4
666,4
什,4
面对,4
中科,4
2.30,4
看戏,4
两年,4
编制,4
何时能,4
一两,4
惯性,4
一个点,4
值,4
腿,4
云南铜业,4
苹果,4
蓝色,4
腾飞,4
成立,4
喷,4
不死不活,4
阴,4
世纪,4
私募,4
走法,4
作用,4
3050,4
x,4
昨夜,4
末端,4
昨天晚上,4
传统,4
啤酒,4
电信,4
道琼斯,4
百分百,4
碾压,4
没错,4
整天,4
普跌,4
点有,4
高开底,4
午评,4
明明,4
妙,4
午前,4
多月,4
一群,4
大波,4
张江,4
一是,4
道理,4
涨到,4
入,4
太高,4
社保,4
设备,4
鼠年,4
恒瑞,4
要冲,4
涨不动,4
画,4
新赛,4
百年,4
离开,4
改革,4
爱尔,4
现,4
一共,4
琢磨,4
一切都是,4
慌,4
退潮,4
控,4
篇,4
光标,4
....,4
000883,4
筑,4
科达,4
原地,4
星期六,4
成电,4
大限,4
此轮,4
烈日,4
最低点,4
直播,4
能量,4
跌下去,4
牛牛,4
2960,4
M,4
药,4
自贸区,4
2922,4
星期四,4
口气,4
商,4
导致,4
谨防,4
精准,4
成果,4
最佳,4
上演,4
周压,4
千亿,4
2855,4
来个,4
不看,4
跌到,4
不进,4
器械,4
卷商,4
你好,4
打卡,4
跌时,4
最少,4
争夺,4
偏,4
便宜,4
赌,4
做顶,4
主板,4
睡觉,4
股大涨,4
建,4
三遍,4
科创,4
说好,4
鸡狗,4
始终,4
普涨,4
声明,4
数年,4
看法,4
害人,4
解套,4
平衡,4
创维,4
数量,4
高价,4
玩意儿,4
妖,4
精密,4
网红,4
风格,4
半个,4
2500,4
港股,4
转换,4
三四,4
牙,4
收阳,4
利率,4
最高点,4
锁仓,4
金丹,4
2938,4
星期五,4
上扬,4
蹦,4
五十,4
章鱼,4
老老,4
W,4
媒体,4
梳理,4
行业龙头,4
尿性,4
轴,4
骂,4
双塔,4
碰,4
场外,4
缩水,4
弯路,4
坚信,4
实在,4
沉浮,4
展开,4
股灾,4
六十,4
拿下,4
收益率,4
三维,4
耍流氓,4
洪涛,4
份,4
呲,4
准,4
个人观点,4
发贴,4
不见,4
毛,4
2830,4
早晨,4
夏天,4
琼斯,4
消,4
焊死,4
金,4
财经,4
年线,4
上交,4
派发,4
到时候,4
星期二,4
名字,4
即将来临,4
现金,4
一笔,4
接,4
转折,4
期指,4
人性,4
冲冲,4
吐血,4
没用,4
st,4
搅,4
算是,4
赵,4
一生,4
绝大多数,4
好日子,4
完毕,4
一个亿,4
房,4
玩玩,4
太累,4
后期,4
黎明,4
现象,4
销户,4
饮食,4
刀,4
追进,4
财富网,4
净,4
艺术,4
第一个,4
很快,4
心中,4
五月,4
苦,4
格力电器,4
态势,4
往上,4
热,4
补涨,4
看清,4
鸡,4
大顶,4
疲软,4
压,4
阴棒,4
面板,4
收到,4
现价,4
再创,4
气死,4
太久,4
上交所,4
价,4
平,4
货,4
剩余,4
剔除,4
来回,4
大北,4
股跌,4
回顾,4
知名,4
股票市场,4
玩儿,4
变绿,4
集成电路,4
无视,4
眼科,4
较强,4
咨询,4
6.5,4
年前,4
有钱,4
精,4
悬,4
不停,4
挑战,4
退出,4
狠,4
十几个,4
态度,4
静静,4
文章,4
忘记,4
磨叽,4
